run,program,nbodies,time_sec
72,cpu_simd,6000,3.639135837
73,cpu_simd,6000,3.603671805
74,cpu_simd,6000,3.619824273
75,cpu_simd,6000,3.657387947
76,cpu_simd,6000,3.654283668
77,cpu_simd,6000,3.609030784
78,cpu_simd,6000,3.571249831
79,cpu_simd,6000,3.644472101
80,cpu_simd,6000,3.615623685
81,cpu_simd,6000,3.608437518
82,cpu_simd,6000,3.742304150
83,cpu_simd,6000,3.691106047
84,cpu_simd,6000,3.599854940
85,cpu_simd,6000,3.590891052
86,cpu_simd,6000,3.603547001
87,cpu_simd,6000,3.632996170
88,cpu_simd,6000,3.604766667
89,cpu_simd,6000,3.678520296
90,cpu_simd,6000,3.599832786
91,cpu_simd,6000,3.668393290
92,cpu_simd,6000,3.670830168
93,cpu_simd,6000,3.585610613
94,cpu_simd,6000,3.621116182
95,cpu_simd,6000,3.696329593
96,cpu_simd,6000,3.585208452
97,cpu_simd,6000,3.594555908
98,cpu_simd,6000,3.627126298
99,cpu_simd,6000,3.603225435
100,cpu_simd,6000,3.578357185
1,n-body,8000,111.717227035
2,n-body,8000,116.729756114
3,n-body,8000,115.835537901
4,n-body,8000,116.810491688
5,n-body,8000,114.294440965
6,n-body,8000,113.871415756
7,n-body,8000,114.742911126
8,n-body,8000,122.816309176
9,n-body,8000,119.740906635
10,n-body,8000,117.816873704
11,n-body,8000,114.930220186
12,n-body,8000,125.384902888
13,n-body,8000,114.555299955
14,n-body,8000,118.541935913
15,n-body,8000,118.199073616
16,n-body,8000,115.259559690
17,n-body,8000,114.506164660
18,n-body,8000,114.716152548
19,n-body,8000,115.043861862
20,n-body,8000,115.407881148
21,n-body,8000,115.527190063
22,n-body,8000,116.350883732
23,n-body,8000,116.589657955
24,n-body,8000,115.786617113
25,n-body,8000,114.764200868
26,n-body,8000,115.295951529
27,n-body,8000,115.654522171
28,n-body,8000,115.587864545
29,n-body,8000,115.169884642
30,n-body,8000,115.607955586
31,n-body,8000,115.966067974
32,n-body,8000,115.875421625
33,n-body,8000,115.587363483
34,n-body,8000,115.777182415
35,n-body,8000,115.876875090
36,n-body,8000,116.297811251
37,n-body,8000,116.344387976
38,n-body,8000,115.868996305
39,n-body,8000,116.152314999
40,n-body,8000,115.212309846
41,n-body,8000,115.614419441
42,n-body,8000,115.967682847
43,n-body,8000,115.553501920
44,n-body,8000,115.955354464
45,n-body,8000,116.511061234
46,n-body,8000,115.925357536
47,n-body,8000,116.161863146
48,n-body,8000,116.205724908
49,n-body,8000,115.399588204
50,n-body,8000,116.392598813
51,n-body,8000,115.430112226
52,n-body,8000,115.818783415
53,n-body,8000,115.696366120
54,n-body,8000,116.479837165
55,n-body,8000,122.300335217
56,n-body,8000,115.081632975
57,n-body,8000,115.668746475
58,n-body,8000,115.633494568
59,n-body,8000,115.650154072
60,n-body,8000,116.152132205
61,n-body,8000,115.972938260
62,n-body,8000,115.300836178
63,n-body,8000,115.188964357
64,n-body,8000,116.261507564
65,n-body,8000,119.205857903
66,n-body,8000,115.950014751
67,n-body,8000,116.100493204
68,n-body,8000,115.070361435
69,n-body,8000,115.581428632
70,n-body,8000,115.540748862
71,n-body,8000,115.288237553
72,n-body,8000,116.019726296
73,n-body,8000,115.502858175
74,n-body,8000,115.691024490
75,n-body,8000,116.875739702
76,n-body,8000,115.706036363
77,n-body,8000,115.739969644
78,n-body,8000,115.698508282
79,n-body,8000,115.607787369
80,n-body,8000,116.768179052
81,n-body,8000,115.557622378
82,n-body,8000,115.881518137
83,n-body,8000,115.960272097
84,n-body,8000,125.478787308
85,n-body,8000,117.440170459
86,n-body,8000,116.275954521
87,n-body,8000,115.791538840
88,n-body,8000,116.303790048
89,n-body,8000,115.279886347
90,n-body,8000,120.690225616
91,n-body,8000,116.181480964
92,n-body,8000,116.041235179
93,n-body,8000,115.949799633
94,n-body,8000,117.453262511
95,n-body,8000,131.800012413
96,n-body,8000,116.642210207
97,n-body,8000,116.536262527
98,n-body,8000,117.445920807
99,n-body,8000,116.326755851
100,n-body,8000,116.549868921
1,cpu_simd,8000,7.008841978
2,cpu_simd,8000,6.936657651
3,cpu_simd,8000,6.916184248
4,cpu_simd,8000,7.107067698
5,cpu_simd,8000,6.935194786
6,cpu_simd,8000,6.945920231
7,cpu_simd,8000,6.947449403
8,cpu_simd,8000,6.953415590
9,cpu_simd,8000,6.913073070
10,cpu_simd,8000,6.913493347
11,cpu_simd,8000,6.934046772
12,cpu_simd,8000,7.027776002
13,cpu_simd,8000,6.960258082
14,cpu_simd,8000,7.053425017
15,cpu_simd,8000,6.896248080
16,cpu_simd,8000,7.017715185
17,cpu_simd,8000,6.968676333
18,cpu_simd,8000,6.938481591
19,cpu_simd,8000,6.917712880
20,cpu_simd,8000,6.918505171
21,cpu_simd,8000,7.008057923
22,cpu_simd,8000,6.942582543
23,cpu_simd,8000,6.906358551
24,cpu_simd,8000,6.900962023
25,cpu_simd,8000,6.923236231
26,cpu_simd,8000,6.890591032
27,cpu_simd,8000,6.924925122
28,cpu_simd,8000,6.905297412
29,cpu_simd,8000,6.965171623
30,cpu_simd,8000,6.983658589
31,cpu_simd,8000,6.905949919
32,cpu_simd,8000,7.001101806
33,cpu_simd,8000,6.925933578
34,cpu_simd,8000,6.944701699
35,cpu_simd,8000,6.910831213
36,cpu_simd,8000,6.937450076
37,cpu_simd,8000,7.087254622
38,cpu_simd,8000,7.023178089
39,cpu_simd,8000,6.895815788
40,cpu_simd,8000,6.894501122
41,cpu_simd,8000,6.942258060
42,cpu_simd,8000,6.949858724
43,cpu_simd,8000,6.928579735
44,cpu_simd,8000,6.952351821
45,cpu_simd,8000,6.893908062
46,cpu_simd,8000,6.952042874
47,cpu_simd,8000,6.951479048
48,cpu_simd,8000,6.918177380
49,cpu_simd,8000,6.919416481
50,cpu_simd,8000,6.925589356
51,cpu_simd,8000,6.901334698
52,cpu_simd,8000,6.924736057
53,cpu_simd,8000,6.942827463
54,cpu_simd,8000,6.919522500
55,cpu_simd,8000,6.983095876
56,cpu_simd,8000,7.217016434
57,cpu_simd,8000,6.930226490
58,cpu_simd,8000,6.913103637
59,cpu_simd,8000,6.943053795
60,cpu_simd,8000,7.048594092
61,cpu_simd,8000,6.897041948
62,cpu_simd,8000,6.907155544
63,cpu_simd,8000,6.960552705
64,cpu_simd,8000,7.032836673
65,cpu_simd,8000,6.903328781
66,cpu_simd,8000,6.911835740
67,cpu_simd,8000,6.944748350
68,cpu_simd,8000,6.993547238
69,cpu_simd,8000,6.949985583
70,cpu_simd,8000,6.933609726
71,cpu_simd,8000,6.947180155
72,cpu_simd,8000,6.909210279
73,cpu_simd,8000,6.942967728
74,cpu_simd,8000,6.951980693
75,cpu_simd,8000,6.938949812
76,cpu_simd,8000,6.938068904
77,cpu_simd,8000,6.973431826
78,cpu_simd,8000,6.957352985
79,cpu_simd,8000,6.922672210
80,cpu_simd,8000,6.941289833
81,cpu_simd,8000,6.982426295
82,cpu_simd,8000,6.833988677
83,cpu_simd,8000,6.889061161
84,cpu_simd,8000,6.893991795
85,cpu_simd,8000,6.915682545
86,cpu_simd,8000,6.915328368
87,cpu_simd,8000,6.947554131
88,cpu_simd,8000,7.313664733
89,cpu_simd,8000,6.946042644
90,cpu_simd,8000,6.967623954
91,cpu_simd,8000,6.964332773
92,cpu_simd,8000,6.908980338
93,cpu_simd,8000,6.920951186
94,cpu_simd,8000,6.960968729
95,cpu_simd,8000,6.894391144
96,cpu_simd,8000,6.913104347
97,cpu_simd,8000,6.933297306
98,cpu_simd,8000,6.960765094
99,cpu_simd,8000,6.952211702
100,cpu_simd,8000,6.903786229
1,n-body,10000,176.851533054
2,n-body,10000,180.818586186
3,n-body,10000,184.757212891
4,n-body,10000,203.508730791
5,n-body,10000,201.997208766
6,n-body,10000,185.226341216
7,n-body,10000,180.289551899
8,n-body,10000,179.513271344
9,n-body,10000,177.973678965
10,n-body,10000,180.062596416
11,n-body,10000,177.945005397
12,n-body,10000,178.189171841
13,n-body,10000,177.893541516
14,n-body,10000,177.850944221
15,n-body,10000,178.013817340
16,n-body,10000,182.777826722
17,n-body,10000,179.147596906
18,n-body,10000,177.469386634
19,n-body,10000,178.017734476
20,n-body,10000,177.588938622
21,n-body,10000,177.016066742
22,n-body,10000,178.129127048
23,n-body,10000,177.842669811
24,n-body,10000,178.016804159
25,n-body,10000,177.195151813
26,n-body,10000,177.841616105
27,n-body,10000,177.898675949
28,n-body,10000,177.136497464
29,n-body,10000,176.555517499
30,n-body,10000,176.894141775
31,n-body,10000,176.852375422
32,n-body,10000,177.459586701
33,n-body,10000,176.914461061
34,n-body,10000,177.583564255
35,n-body,10000,178.381244565
36,n-body,10000,177.008492950
37,n-body,10000,177.092941621
38,n-body,10000,177.774769414
39,n-body,10000,177.415172384
40,n-body,10000,177.203503661
41,n-body,10000,177.056485383
42,n-body,10000,177.727808035
43,n-body,10000,176.388311050
44,n-body,10000,176.313801767
45,n-body,10000,175.647723346
46,n-body,10000,176.177746149
47,n-body,10000,176.794442995
48,n-body,10000,176.174674539
49,n-body,10000,176.081131648
50,n-body,10000,176.109273068
51,n-body,10000,176.849428407
